l,t
1,"My husband, three year old son and I arrived at the Palmer House Hilton last Friday for a weekend stay. The hotel looked elegant online but included information that also indicated it was child friendly. At the check in the staff was cold and seemed quite annoyed by son who was merely saying hi and asking the name of the person helping us. One elevator was broken we had a long wait for other elevator. The hallway appeared a bit dirty as we made our way to our room. The room was decent. Not deluxe as their website indicated it would be but is was comfortable and the view was good. We had a long day of sight seeing and play on Saturday. As my son was tired, we elected to return to our room and have room service for dinner. There was no children's menu for room service. Only for the restaurant from which the room service came from the same kitchen, what??? We ordered an adult meal. The food arrived an hour later, cold and unappealing. But we at it because we couldn't wait another hour. Although the hotel looks lovely. The service was not very good. Most of the staff was cold and snooty. Except for the cleaning staff who were very nice. It might be ok for a couple or business traveler but do not stay with children. A comfortable motel might be better.
"
1,"I recently stayed at the Swissotel Chicago with my husband and two children. While the room was comfortable, I did not think that it was the best choice of hotel for those with children. The main reason for this was the dining. While the in house restaurants had children's options, there were not any other dining options that were a bit more informal. Anyone with children knows that you don't want to take them to a sit down restaurant at certain times. This was especially true since we were traveling. We arrived at the hotel with tired children in hand and wanted to eat a quick meal and then put them to bed. However, our only real options on location were these fancy restaurants. This was certainly not the most family friendly of options for a hotel with a kid friendly package.
"
1,"The Omni Chicago Hotel was in one word, dreadful. The hotel is in the heart of the city and traffic is chaotic. The service is terrible. If you want to wait for your room for 3 and a half hours this is the place to go! Throughout a whole week, beds are made once and bathrooms are never cleaned. The hotel is no help when looking for a nice place to dine or a fun place to visit, they give no info for any activities going on in Chicago. This hotel should be listed in the top 10 WORST hotels in America. Do not waste your time nor money staying at the Omni Chicago Hotel.
"
1,"I would never stay here again. For a hotel that calls itself a four-diamond hotel, it cannot even provide the most basic amenities and services. I would have been more comfortable staying in a run-down motel. The bathroom had not been cleaned properly and the sheets were stained.
"
1,"After staying at the Omni Chicago Hotel, I can honestly say that I will take the time to book a room, ahead of time, on my next visit to Chicago. We were thrilled to see how beautiful the hotel was, at first because it seemed like it would be a nice place. The outside of the hotel was pristine, but our room was filthy! We requested a non-smoking room, but it had obviously been smoked in before, as you could still smell the stale smoke in the air. In fact, we were told that the entire hotel was supposed to be non-smoking, but the hallway smelled like cigarettes as well. To top it off, room service brought us the wrong item. When we checked out, we saw that they still tried to chage us for the item, even after we sent it back. I would also have to point out that Michigan Avenue is a bad spot for a hotel that claims to be so high class. Right outside of our hotel were drug dealers and prostitutes. I couldn't even go to the gas station after 8 p.m. because I was too scared to leave the hotel. The pool was closed on our first night there because of some convention that the hotel was holding, thus keeping us from using the hot tub that we were looking forward to. For the price of the room I would say this place was a definite disappointment. I have learned my lesson to check out the room before I agree to stay in it next time. This place gets 1/2 of a star from me.
"
1,"We originally made reservations for a weekend getaway but after looking at their website, read about their ""romantic weekend getaway."" Having never been in the area before or stayed at an Ambassador Hotel we really didn't know what to expect, but the pictures online made it look more inviting than it turned out to be. Upon arriving, the parking valet was on break and we ended up having to park our own car, unless we felt like leaving it in the line of traffic. It only went downhill from there. The bed sheets had footprints on them and the bathroom had an odor that we couldn't figure out what it was. We ended up getting a different room, which was very mediocre. Needless to say, we won't be staying here again.
"
1,"Oh My! More Like A Dank Museum Than A Four Star Hotel! I read so many reviews on this hotel that I was sure my husband and I wouldn't be disappointed on spending our 10th Wedding Anniversary in the heart of Chicago at such a luxurious hotel! All the reviews sounded great so I feel awkward writing this, but I have to be fair - this place was a major disappointment. While the location is superb, the images online must have been taken over 10 years ago because all of the decor when we visited looked very old and faded. I noticed dirt everywhere - the fabric on the furniture was stained, the baseboards and woodwork were scratched and dirty and there seemed to be a smell of mold and mildew that permeated the entire hotel. Even though the food was great, the linens, glassware and silverware were not sparkling - it sort of helped that candles were lit so I didn't focus too much on how dreary and washed out the dining facility was. I didn't realize experiencing history would actually mean staying at a hotel that's living in the past! This was barely a two star hotel and I do not recommend staying here at all.
"
1,"I will never stay here again. I was lured in by the hotel's pictures showing a fabulous suite. Instead I arrived to find cheap furniture that smelled of old cheese. I called the front desk to see if there was another room available. I was put on hold for five minutes and no one came back on the line. I ended up going to the front desk myself. I was ignored and not given assistance until I interrupted the front desk clerk who seemed to be on a personal call. The clerk apologize but then looked at me with an attitude when I requested another room because mine smelled like old cheese. I was informed that there were no other rooms available but that they would send up housekeeping. Housekeeping sprayed some Febreeze on the couch and then left. I tried to relax by turning on the TV in the bedroom. I sat on the bed and saw something scurry under the pillow. I checked the corner of the mattress and found bedbugs. I packed up my bags and left after that. I did get a refund on the room after some complaining. I went across town to the Marriott where I had a much better stay.
"
1,"We stayed at the Schicago Hilton for 4 days and 3 nights for a conference. I have to say, normally I am very easy going about amenities, cleanliness, and the like...however our experience at the Hilton was so awful I am taking the time to actually write this review. Truly, DO NOT stay at this hotel. When we arrived in our room, it was clear that the carpet hadn't been vacuumed. I figuered, ""okay, it's just the carpet."" Until I saw the bathroom! Although the bathroom had all the superficial indicators of housekeeping having recently cleaned (i.e., a paper band across the toilet, paper caps on the drinking glasses, etc., it was clear that no ACTUAL cleaning took place. There was a spot (probably urine!) on the toilet seat and, I kid you not, the remnants of a lip-smudge on the glass. I know people who have worked many years in the hotel industry and they always warned that lazy housekeeping will make things ""appear"" clean but in fact they make no effort to keep things sanitary. Well, the Hilton was proof. I called downstairs and complained, and they sent up a chambermaid hours later. Frankly, I found the room disgusting. The hotel itself, outside the rooms, was cavernous and unwelcoming, with an awful echo in the lobby area that created a migraine-inducing din. Rarely have I been so eager to leave a place as this. When I got home, I washed all my clothes whether I had worn them or not, such was the skeeviness of our accomodations. Please, do yourself a favor and stay at a CLEAN hotel.
"
1,"Problems started when I booked the InterContinental Chicago online at the hotel's site, and got a server error. Somehow I managed to get my reservation, and wish I had looked elsewhere on this great Chicago street, filled with plenty of other options. The server errors continued at check in and didn't let up. I was on a holiday weekend, but far too many others must have been pushy conventioneers, and I had trouble getting served. The hotel is enormous and doesn't give a sense of comfort. The health facilities are also just too big, so noisy and crowded. And Internet access was $18 a day, kind of surprising when I can go around the corner to a Starbucks! Next time, I'll pick a more intimate place nearby--without so many ""server errors"".
"
1,"I will never use Ambassador East Hotel again. The first appearance you get is a very dark and dreary type setting. The exterior of the hotel was in desperate need of repair. The customer service was not as good as you would expect when spending your hard earned money on a hotel room. In this hotel you are spending more than the average amount of money on a room that is smaller than the average hotel room. I felt rushed out at check out and didn't have an enjoyable experience at all.
"
1,"I was REALLY looking forward to a nice relaxing stay at the end of a long vacation, but unfortunately that was not to be had. From the moment we arrived at the Omni, the staff was belligerent and extremely rude. They had lost our reservation and refused to give us the rate we had booked before. If we weren't so tired, we would've gone to a different hotel right then, but hindsight is 20/20. After we FINALLY got checked in after being made to wait needlessly for 45 minutes in the lobby, we decided to go down to the pool, which was tiny and kind of dirty, so we had walked all the way down there in our suits for nothing. The internet access was really slow. I will NEVER stay here again. Save yourself the headache and book somewhere else!
"
1,"I've never written a review before, but I just had to share my experience with Chicago's InterContinental Hotel. I booked a weekend at this hotel for my wife's birthday. We've never stayed at a luxury hotel before and I thought this would be a great experience for us. The horrors started when we first got to the counter. The clerk mixed up our rooms and when I pointed this out he got really snooty with me. We get to our room and the maid hadn't cleaned it yet! We had to wait around for that, so we went to the hotel's restaurant and the food was terrible and overpriced. Finally our room is finished and the the ""view"" we were promised was non-existent. To top it off the maid did a terrible job cleaning. The toilet was dirty and we actually found a stain. A stain! on the sheets. What a waste of money. I pointed this out the concierge and we weren't even offered a refund or discount. Never again.
"
1,"I stayed at the Knickerbocker Hotel the last time I visited Chicago. I lived in Illinois during college, and as I was on a college budget, most of my trips up to the city involved sharing a room at one of the cheaper hotels away from downtown. For my visit back, I decided I would treat myself to a nicer stay than I was used to, so I booked a room at the Knickerbocker. Everything looked nice when I got there, but for the price I paid, I was really expecting something far above and beyond what I got. Maybe I wasn't dressed right, or didn't carry the right luggage, but the front desk clerk was unnecessarily snooty when I checked in. Shouldn't a hotel try to make its guests feel welcome? When I stayed at the cheap hotels in college, the front desk employees were always friendly when I checked in and out, and they would give me good tips on the best way to get to the fun things in the city. Here, I didn't even want to ask for any tips at the front desk because I didn't want to deal with the eye rolling and ""too important to be bothered"" attitude I got when I checked in. I guess the location was more convenient than the hotels I used to visit, but I really thought that part of the money I was spending on a nice hotel would pay for a pleasant customer service experience. Look, obviously I can afford to stay at your hotel, I already booked and paid for the room. Even if customer service isn't your number one goal, making money should be pretty high up on the list, and making a paying customer feel unwelcome isn't a very good way to secure return business. I doubt I'll stay here again.
"
1,"When most people think Hilton, they think luxury. I know I did. I only wish I'd been half right. Upon arriving, I was informed that the incompetent staff had lost my reservation entirely. Not a very auspicious start, but they did find me another room. Granted, the new room had an oh-so-scenic view of the broadside of an adjacent building. But, fine. I was willing to let this slide. I didn't want to be difficult. In the following days of my stay, it got a little harder to ignore all the minor problems that were making the Hilton very undeserving of the term, luxury hotel. Noisy neighbors. Rude staff. If the state of my bathroom towels was anything to go by upon checkout, I doubt my sheets were changed even once. Next time I'll ignore the hype and stay somewhere cheaper. The service couldn't possibly be worse.
"
1,"Not worth the price! I had the unfortunate experience of staying in the Hilton Homewood Suites in downtown Chicago. I stayed there with my family while we were on vacation. I wish I would have saved my money and went somewhere else. With a hotel this expensive, you think that they might throw in some bonuses your way, like complimentary parking. Not a chance. In addition to the $259 price tag, I also had to pay $30 for parking, per night. If I had stayed at the Motel 6, parking would have been free. The staff there were not very nice at all. When I registered, the lady at the counter acted like helping me was interfering with her internet chat time. She was very rude to me. Perhaps she was having a bad day or something, but I doubt it. After I arrived in my room, my key card didn't work, and I had to go back downstairs to get it fixed (once again, interrupting her precious free time with some actual work). The rooms had some nice features, like kitchen appliances and a flat screen television. I didn't go on vacation to cook though. The television didn't get very many channels, and you had to pay if you wanted to watch any of their movies (of course). I tried logging into Facebook to say hello to my friends from the hotel room, but the ""complimentary"" internet access was so slow that it was hardly worth using. I get a better connection at Starbucks. They offer a complimentary dinner and breakfast, but it's nothing to write home about. I've had better food at McDonald's. The food was pretty cold, and the choices are very limited. Traffic around the hotel was hideous. This hotel is downtown, and you can definitely tell. There are a bunch of one-way streets around, which makes getting in and out confusing. The room was pretty clean, but you can say that about a lot of hotels in a wide variety of price ranges. If you're looking for a hotel in Chicago, I'd say save some money and go somewhere else. I've had better stays at the Best Western and many other hotels that cost less.
"
1,"My wife and I recently stayed at the Hotel Monaco in Chicago and, after our experience there, we will not be returning. With a hotel that markets itself as ""luxury,"" we were expecting to get a big bang for our buck. We were disappointed, to say the least. First of all, we stayed in the King Deluxe room and it was uncomfortably small. The space was used poorly - my wife and I could not walk around the bed at the same time because there was so little space. The decor seemed rather dated and not of the best quality. Although they said our room woudl be ready at 3, we had to wait almost an hour past that for our room to be ready. Although the staff did offer a complimentary drink as an apology, they didn't seem terribly upset or apologetic about the inconvenience this caused. The noise at night from the city is horrible - even with the radio on in our room we could hear traffic and pedestrians on the street well past midnight. The hotel would not move us to a different room. All in all, I felt that we paid $100.00 for a luxury hotel and got a $40 Motel 6. We will definitely not be back anytime soon.
"
1,"I recently was in Chicago on business and chose to stay at the Swissotel, Chicago. The hotel sells itself as being stylish, sophisticated and luxurious and says it is in the center of the city. I would have been better off anywhere else. I was not impressed with the interior, finding them bordering on clinical and too modern for my taste. I guess 'stylish' might be modern in some people's minds, but not mine. Also, luxury to me means plush not hard and clinical. When I made my way to reception, I hardly encountered the friendly customer service boasted of on the website. I had organized an executive suite as I was planning to work some of the time from my hotel room, and thought the extra space would come in handy. When I proceeded to check in, the girl at the desk told me, while smacking gum, that I had no reservation. I handed over my booking confirmation and she told me that at first she had spelled my name wrong, even though I had spelled it out for her. She then proceeded to tell me that due to a conference, all of the executive suites had already been allocated, but that they would be happy to assign me to a lake view room. Correct me if I am wrong, but this is a step down from the room I had asked for! Surely if you give away my room, you should try to compensate me with something better! I said that no, I really needed more space as I would be using the room as an office, and finally she said that they did have a corner king room available, and that if I wanted to switch the following evening, I would be welcome to do that. The room was ok, although, again, I was disappointed by how cold and clinical it felt. I did attempt to make use of some of the hotel services, but found them sadly lacking. Some comments on the services: the high speed wireless was not available in the room unless you were willing to pay a fee for a cable to connect, and also a per day fee which borders on extortion! There was free wifi in the lobby, but requires you to sit near the doors which open constantly letting in freezing blasts of air, plus deal with the noise and bustle of people constantly coming in and out. I did phone room service on my arrival to request an extra pillow and towels, but had to wait 2 hours before they arrived. The fitness center and pool which I was looking forward to using, were closed for cleaning when I went up. Breakfast the next morning consisted of continental items, which is not what I would have expected for the money. All in all, I would say your money is better spent elsewhere.
"
1,"Homewood Suites is a Hilton Group Hotel located in downtown Chicago. Though close to many sights, when we visited there was extensive construction going on along Michigan Avenue, so every morning we were awakened right at 8 am to the sound of jackhammering and bulldozers. We reserved the basic suite. Though we arrived at 5 pm, well past check-in time, our room was not ready for 30 minutes. The management apologized but did not offer any sort of compensation for our inconvenience. Once the suite was ready, it was nice. But then we quickly discovered that there was no hot water in our bathroom. We were relocated to another room with apologies, but again, no offer of compensation for the trouble. Once we were finally settled, the free welcome dinner reception had wine and beer. The food was okay, but we were so frazzled from the issues we had checking in that anything would have tasted good at that point. The staff suggested their complementary grocery shopping service. We though it was a good idea since we were already so tired. Unfortunately, it took them three hours to finally deliver the groceries to our suite and the bill was far more than we expected. All in all we were disappointed with our experience at Homewood suites. We understand there are problems that may arise but the fact that the management did nothing to make it up to us is unacceptable. I would not suggest this hotel to a friend visiting Chicago.
"
1,"I recently stayed at the Sheraton Chicago Hotel and Towers and there is no way I'll be going back. Check in took a long time as there many people arriving for a conference and only a single staff member at the reception desk. My room itself was barely passable - the bathroom seemed to need a good cleaning and the room itself looked like it had seen better days long before I ever was here. For the price I was paying, you'd think they'd allow access to the work out facilities, but they wanted an outrageous PER DAY charge! Top it off with the small pool and no hot tub and you won't want to be spending any time here at all. To top it off, the promised discount rate wasn't honored at the end of my stay, despite being assured that all was well at check in! I ended up arguing with the manager about it when I was checking out - since I had to catch a flight, no resolution happened and as of yet, I'm still waiting for responses to my calls and letters. Chicago has a lot better hotels to offer and for the price per night I paid, it wasn't worth it. Even the Shula's wasn't enough to make me want to return here.
"
1,"My husband and I recently stayed at the Conrad Chicago for three nights, a Thursday through Saturday. Let me say we were less than pleased with our experience. We chose to stay in the ""King Bed Deluxe Room"" and for an average of over three hundred dollars a night we were sorely disappointed with the accommodations. Upon entry the room looked as though it had not been cleaned thoroughly, the rug looked dirty and there were crumbs or something on the dresser. The room was size was average, and again for three hundred dollars a night we were expecting a almost suite type room. The major annoyance was how loud people were. We came in after midnight each evening and long after we went to bed we could hear people coming down the hallway yelling and running. That is totally unacceptable for a supposed high end hotel. You can expect a loud guest maybe once, but every night is ridiculous. The service was also extremely sub par. We had to wait 20 minutes at check in because the girl at the counter was too busy talking to another employee about what she was going to do after work. One day we put the no house cleaning sign on the door and a maid literally walked in on me. She completely disregarded the sign, did not even bother to knock and just unlocked the door and came right in. It scared me and I'm just glad I was not getting out of the shower or changing. So to sum up, we will never stay at the Conrad again, we will never recommend it to anyone else, and for the money there are a hundred much better hotels to stay at in Chicago.
"
1,"Though grand and having a brand, this hotel seems to disappoint me on certain fronts. 1. Staff seemed snooty and arrogant. 2. Request for upgrade was fulfilled only after repetitive requests.The initial room was very small. 3. for the cost paid I would expect a coffee maker, free internet service at the least which even regular B&Bs offer. 4.They will levy charges on each and everything.Complete rip off Other things matched the Grandeur.Cleanliness and location was good, but the staff made my stay unpleasant.
"
1,"My wife and I stayed at the Hyatt Regency in Chicago a couple of weeks ago and will most defiantly not go back. The customer service is horrible and it is well apparent that most of the workers did not want to be there either. When we arrived at the hotel we were told us that the room was still being cleaned and had to wait almost a hour before they gave us the key. When we got into the room the bed was not even properly made. The cafe is always crowded with people and it take two hours to get food. We ended up going home two days before we planned.
"
1,"Recently stayed at the James Chicago and will NOT be returning anytime soon. The staff is unfriendly to say the least and the prices are outrageous. Also not a fan of the fact they allow pets as guests. There wasn't enough space in the gym and the lack of variety in equipment limits your options severely. Ultimately i was very unimpressed with the services as a whole and would recommend you avoid this establishment.
"
1,"My husband and I stayed here at the Hard Rock Hotel in Chicago a few months back. I wasn't particularly impressed with their customer service. When we arrived to check in, the front desk clerk was quite rude and unfriendly. She was short with me when I asked her about the city's attractions and things to do. Our room wasn't all that great either. It was rather small and had a weird smell to it. I won't be staying here again.
"
1,"Whenever I decided to stay at Fairmont Chicago Millennium Park, the only thing that I had on my mind was the idea of taking that time to relax and enjoy some time with my husband. However, the hotel choice wasn't the best. Right in the front desk when we arrived there we had problems with our reservation. The room that we had reserved was occupied and so we had to switch to some other room, which was much smaller than the original one. The hotel did give us a discount, but if I'd paid for the large room was because I wanted the it. A hotel with this name shouldn't put its guests in these kind of situation. I wont be reserving room there again.
"
1,"Last week, I booked a 'Deluxe Suite' at the Omni Chicago Hotel for a weekend stay in Chicago. I took the 'Retreat and Relax' package deal. The wait to check in was intolerably long, because they were letting some people check in with a dog. I'm allergic to dogs, and I'm sure its fur and dander got spread all over the room they were in. They insisted on escorting me to to my room, every time I came in, like I was going to break into another guest's room or something. I swear, anytime I was out of my room they were watching me like hawks, asking me if I needed anything. You know that the only time anyone does that is when they think you're up to something. I went to the pool, but it was full of screaming children. When I went to bed, I could hear the television in the next room through my wall. And what's worse, they wouldn't even let me smoke in the privacy of my room to relieve the stress. They threatened to throw me out on the street, after I gave them hundreds of my hard earned dollars! I had to go outside-- probably where the dog went to piddle-- to do it. Also, their on-site restaurant is too expensive, given that you're already paying an arm and a leg for the room. The food should be free! I wouldn't stay here again, it was a waste of my money.
"
1,"Although the Millennium Knickerbocker Hotel Chicago claims to be an affordable upscale hotel in the heart of Chicago, it is somewhat expensive, starting at $200 per night. There are very few special discount rates available for the budget conscious traveler. The rooms are modern looking and a little less cozy than one might prefer. The carpeting in the rooms is a little outdated and somewhat dirty in a few areas. The views from the rooms are not as great as they could be. The hotel seems to be understaffed and the heating unit in the room is hard to adjust to the right temperature. Although the hotel is located on Chicago's famous Michigan Avenue, it is a $40 taxi ride from O'Hare airport and a $36 taxi ride from Midway airport, both rather pricey options. If you chose to drive there, the valet parking charge is a hefty $53. Again, not very budget friendly. All in all, even though the Millennium Knickerbocker Hotel Chicago is close to some of the major Chicago attractions, it is only an average hotel on many levels.
"
1,"We chose the Talbott Hotel primarily for the location, but quickly discovered that the location was the only good thing about it. Although their website did a good job of selling their services and amenities, we found both severely lacking. We had mentioned to the reservationist when booking that this was to be a romantic weekend getaway for us - it was our anniversary. We asked for, and were promised, a king room. However, when we checked in, we were told by the front desk clerk that no king rooms were available. We could either take a double queen room, or pay significantly more for a suite. We took the key for our double queen room and were on our way. Upon arriving on our floor, we found a rowdy group of young girls running up and down the hallway, squealing and playing. It turns out that this hotel offers American Girl visits for the nearby store. It turns out that our romantic getaway room was in the center of a block of rooms reserved for a Girl Scout troop on an American Girl trip! We went back downstairs to request a move to another room, and were told no other double queen rooms were currently available. We explained that we were here for our anniversary, and the ambiance wasn't exactly what we were looking for. The clerk rolled her eyes and told us that she couldn't help us - they didn't have anything else. Sorry. Back upstairs we went. Tired from travel, we decided to order from room service for dinner. Our pasta, when it arrived, was barely warm and mediocre in flavor. We ate it anyway and prepared for bed. After using the bathroom, we discovered that the toilet in our room continued to cycle water after flushing. After jiggling the handle a few times and poking around in the tank, we couldn't get the water to stop running. It took three hours for a maintenance staff member to make their way up to our room to fix the problem. The next morning, after showering, I discovered the hair dryer didn't work properly. After pulling my wet hair back in a clip, we went out for the day. Upon our return, we expected to find our room made up and fresh. It hadn't been touched. We called downstairs to have someone sent up to clean it, but by the time we'd left for dinner, nobody had arrived. Our room wasn't made up that day. That night, the Girl Scouts sat in the hallway giggling and singing until well after 1am. We asked them several times to be quiet, but they didn't want to listen, and their chaperones were nowhere to be seen. We called down to the desk, and they told us ""they would take care of it"", but the girls continued to have their party in the hallway anyway. Nobody came to shoo them away. The next morning, I turned on the hairdryer, expecting it to work after reporting the difficulty the day before. It didn't! Stuck wearing my clip again, we checked out and made a mental note to select another hotel in the area for our next trip. This hotel had potential, but the staff doesn't care enough about your experience to allow me to recommend it to other travelers.
"
1,"If you are looking for a true luxury experience, Hotel Monaco Chicago is not the place to go. I stayed here while visiting friends and decided to treat myself to a luxury experience. I did not get it. Check in was not a pleasant experience. The wait was long and the front desk staff were unfriendly and unhelpful. The room was ok, no roaches or anything, but it was small and cramped. And the mirrored headboard on my bed was more tacky motel than fancy hotel. The house cleaning service was really pushy and tried to clean my room at 8:30a in the morning. When I asked them to come back later, they gave me a whole 15 minutes before they came back. And getting extra towels was like pulling teeth. I don't know if they thought I was going to steal them or what. The room service food that I ordered was fine, but it took forever to be delivered and was half-cold by the time I received it. When I called the front desk to complain, they apologized, but did not offer to compensate me or send me new food. They have a restaurant at the hotel, but I did not bother to try it. The prices were ridiculous, the menu was limited, and my room service experience assured me it was not worth the hassel. I was really disenchanted with this experience. At $400 plus dollars a night, I received mediocre accomedations and poor service. Spend your hard-earned money somewhere else.
"
1,"My wife and I stayed at the Abassador East Hotel in August to attend the Air and Water Show in Chicago. I called ahead to ensure a SW view that would allow us to watch the airshow from our room if the weather did not permit us to watch from one of the nearby beaches. Upon arrival at the hotel, not only was our room on the west side of the hotel it wasn't even a single king as was requested. Apparently the hotel had overbooked king rooms for the event weekend and we were downgraded to a queen room. The room itself was small and underwhelming. The was not dirty, but the linens and furnishings all had a very old and worn feel. The hotel was packed the weekend we visited. The staff was obviously not prepared to cater to such a large crowd. The concierge and reception desks were continuously busy. The hotel restaurant was very slow and had long waits. The main lobby and other common areas throughout the hotel were also undergoing renovations making getting around and fighting crowds of other people even more difficult! Luckly the weather was nice and the airshow was enjoyable. We will not be staying at the Abassador on future trips. Hopefully, current renovations will provide a much needed lift to the hotels current worn down vibe...
"
1,"We planned a fun time for our kids this summer by booking a kids suite at the Swissotel Chicago. Our fun time was not exactly that. Upon arriving for our weekend getaway, we find that the reservations we made online and the confirmation we held in our hand for a kids suite, did not mean a thing. Apparently, there were none of the kids suites available. The kids suite is supposed to have things to keep the kids happy when they are in the room: coloring, video games, etc. No one at the front desk could explain to us why there were no kids suites available. Whatever. So, we took a regular suite with the promise that we would be moved as soon as one became available. Guess what? We spent the whole weekend in the same room. Yes, the staff apologized, but no one seemed overly concerned that our children were dissapointed and no compensation or extras were offered to make us less cranky about it. Other than that and the fact the none of the hotel staff was very friendly, the rooms were clean. We did not spend a lot of time in the hotel, but I will not be booking a room here again. The staff did not impress me at all and we did not feel like we were treated well at all.
"
1,"The Sheraton Chicago Hotel and Towers is a nice place to stay if you need a place to stay on quick notice, but it certainly does not ""exceed expectations"" as touted on their website. Their Starpoints system is somewhat complicated and not helpful for the frequent traveler. ""Chic but not fussy"" is an overstatement. The room was clean, although the bed covering was wrinkled and the bathroom counter had water lying on it that appeared as though it hadn't been cleaned since the last guest. There was hand lotion and shampoo samples, but no soap sample. The bathroom was short on two towels and it took two calls to housekeeping to get this fixed. ""Cheap"" might have been a better adjective. Check out was simple and not much hassle. Overall, the Sheraton Chicago Hotel and Towers is fine in a pinch, but next time, I will research hotels a little better before making a decision and reserving a room.
"
1,"My experience with the Fairmont Chicago Millennium Park Hotel was Terrible! I arrived exactly at my check in time only to be told my room would not be ready for another hour. I chose to wait patiently at the hotel bar and found myself again disappointed I sat for 15 minutes before the bar tender served me and the drink I received was warm. When the room was finally ready I was horrified to find hairs in the bathtub and mysterious spots on the bedding. When I called down to housekeeping the staff was very rude and maid who they sent up to change my sheets acted annoyed and muttered under her breath the whole time she was changing our sheets and cleaning the bathroom. After all this hassle I would normally expect at least a complimentary beverage but not only was that not offered I found even using internet at this location involved a rather exorbitant fee 13.95 for a 24 hour period. I was shocked having stayed at a variety of higher end hotels I have never once been asked to pay extra for my wifi access. Overall I was highly disappointed with my stay and will not be returning to the Fairmont Chicago Millennium Park hotel any time soon.
"
1,"My recent stay at the Amalfi Hotel in Chicago couldn't have gone worse. Apart from the price of staying there and the slow response time of hotel staff I was totally let down by the food that could be found there. There are many attractions in the area and indeed leaving the hotel is the best part of the experience.
"
1,"The Ambassador East Hotel is a terrible place to stay. All of the rooms are old and dirty as though they haven't been cleaned or remodeled for years. The hotel staff is not friendly or accomodating. Do not waste your money in this crappy old hotel full of rude employees.
"
1,"Terrible experience, I will not stay here again. The walls were so thin that I was kept up all night by the party going on in the suite next to mine. I talked to the management several times, but nothing was done. It may just be the people that I had contact with, but I thought the staff was standoffish and rude. Very unpleasant experience, especially given the cost of staying here!
"
1,"I was unimpressed by the quality of this hotel. The overall look of the place was marred by what felt like poor maintenance. Given that this is supposed to be a luxury hotel and charges rates at that level, this was most disappointing. Nor was I impressed with the snooty attitude taken by the hotel staff.
"
1,"The James Chicago is a stuffy, uninviting hotel. If you are looking for all of the comforts of home, do not stay here. The rooms are like boardrooms,not bedrooms. Definitely not a child-friendly hotel. The restaurant on site is also very modern and screams pretentious. I would not vacation here again, especially not with children. They were afraid to touch anything in the whole hotel!
"
1,"For the price, you would think this would be a top quality hotel, but it was nowhere close. Service at check-in was slow and unfriendly. The room was even worse. It was small, dirty and smelled like stale cigarette smoke even though I had requested a non-smoking room. The cover on the bed was stained, there was hair all over the bathroom floor, and the curtain rod was almost falling off the wall. Everything looked tired and in desperate need of a remodel. I also didn't appreciate having to pay for wifi, when other premium hotels offer it for free. Overall, this was one of the worst hotels I have stayed at in a long time, and considering the price, it was terrible.
"
1,"My daughter's broken heart My daughter loves American Girl and for her birthday wanted to go to American Girl Doll in Chicago. For six months my eight year old counted day the day until we left for Chicago when she could have the experience of a lifetime. We arrived at the Talbot Hotel where we had reserved the American Doll Girl package only to find out that they had given our room away and that they were going to move us across town. If that wasn't bad enough we had to spend an hour to find out if the American Girl carriage ride had been canceled or if we should book another one. My daughter sulked for most of the trip as we spent more time going from thing to thing instead of being able to walk. My daughter cried herself to sleep the first night and I could tell that her heart was broken.
"
1,"I was highly disappointed with my choice to stay at the Amalfi Hotel in Chicago. I had to travel for business at the last minute but felt lucky to get a reservation at such a highly rated hotel. The initial impression was that the desk clerk thought I was lucky that he was waiting on me. I had several questions about local attractions and he acted as though I was bothering him. I was the only customer in the lobby and he directed me to a rack of brochures located near the concierge then went back to leaning against the counter. On the plus side the room was lovely, but when I called for room service at 9:30pm I was told they were closed even though the menu said they served until 10pm. I decided to go out rather than fight the issue. The next day the tone was the same at the pool, the bar, the restaurant etc. The staff here seems to have a general feeling that the guests are lucky enough to stay in such a chic hotel and they are more like part of the atmosphere instead of actual employees with a job to do. The only exception was the housekeeping staff. I called them for extra pillows and another blanket and they were at my door in 10 minutes and made to ask if there was anything else I needed before leaving. The bottom line is that I booked my room here with the intention to relax for a day or two after my business was completed but decided against it. Even though the hotel was beautiful and in a nice location, the atmosphere was not inviting. I'd rather go somewhere where I felt like my money was appreciated instead of staying somewhere that didn't seem to care that I was there.
"
1,"The Chicago Palmer House disappointed me. I chose it because it a Hilton hotel, but it definitely does not live up to the standard set by this name. My first impression was a negative one when I was greeted by a rather rude staff. My room might have been luxurious years ago, but the general impression was that it had not been cleaned regularly and could use a little freshening. The bathroom was obviously newer but the shower was difficult to use and the water pressure was absolutely horrible. The food served by the room service and at the hotel's restaurant sounded delicious on the carefully crafted menus, and the high prices made me expect delicate cuisine. The food simply did not deliver its promises. Everything tasted very bland and the portions were ridiculously small. The location of the hotel might seem like an advantage, since it is in downtown Chicago nearby many touristic attractions: however, the windows in my room did not protect me from the constant noise of cars going by. Overall, this hotel would be decent if it did not advertise itself as a luxury hotel and did not use the Hilton name and price range.
"
